Order=(9, 0, 2), Seed=25, Evidence=-1066.6530362549909, Error=0.2118736468115905, V=1.0, MaxLogL=-1032.6473388671875, BIC=2187.2024757278605, D0Occam=-2.613963768715758, NetPriorVolume=-2.613963768715758, Posterior=-3.7417974176348707
Order=(9, 0, 3), Seed=25, Evidence=-1066.4259912874982, Error=0.22854293444608484, V=1.0, MaxLogL=-1027.439697265625, BIC=2182.328456069894, D0Occam=-2.634562439157143, NetPriorVolume=-2.634562439157143, Posterior=-3.5147524501421685
Order=(9, 0, 4), Seed=25, Evidence=-1068.150649176795, Error=0.27324108933488933, V=1.0, MaxLogL=-1028.1112060546875, BIC=2189.2127371931774, D0Occam=-2.715743071713272, NetPriorVolume=-2.715743071713272, Posterior=-5.239410339439019
Order=(9, 0, 5), Seed=25, Evidence=-1069.79982126219, Error=0.28544347208291243, V=1.0, MaxLogL=-1028.5804443359375, BIC=2195.6924773008354, D0Occam=-3.362692030651051, NetPriorVolume=-3.362692030651051, Posterior=-6.888582424834112
Order=(9, 0, 6), Seed=25, Evidence=-1070.7770229645425, Error=0.25211255555426737, V=1.0, MaxLogL=-1025.9088134765625, BIC=2195.890479127244, D0Occam=-3.286128042725895, NetPriorVolume=-3.286128042725895, Posterior=-7.865784127186544
Order=(9, 0, 7), Seed=25, Evidence=-1071.0206566513139, Error=0.2574459851028677, V=1.0, MaxLogL=-1021.1954345703125, BIC=2192.0049848599024, D0Occam=-3.852192701770112, NetPriorVolume=-3.852192701770112, Posterior=-8.109417813957862
Order=(9, 0, 8), Seed=25, Evidence=-1071.785587245358, Error=0.2617365081138883, V=1.0, MaxLogL=-1018.922119140625, BIC=2192.999617545686, D0Occam=-4.371485105848584, NetPriorVolume=-4.371485105848584, Posterior=-8.874348408002106
Order=(9, 0, 9), Seed=25, Evidence=-1071.9576612390315, Error=0.2908764010711441, V=1.0, MaxLogL=-1017.6089477539062, BIC=2195.914538317407, D0Occam=-4.257220254594802, NetPriorVolume=-4.257220254594802, Posterior=-9.0464224016755
Order=(9, 0, 10), Seed=25, Evidence=-1073.9258910084852, Error=0.33306421463696295, V=1.0, MaxLogL=-1019.3839721679688, BIC=2205.0058506906903, D0Occam=-4.484477399765468, NetPriorVolume=-4.484477399765468, Posterior=-11.014652171129228
Order=(10, 0, 0), Seed=25, Evidence=-1067.9525880067551, Error=0.20627473983436267, V=1.0, MaxLogL=-1032.95849609375, BIC=2187.8247901809855, D0Occam=-2.062212845547787, NetPriorVolume=-2.062212845547787, Posterior=-5.041349169399155
