,,phi_1,theta_1,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,
194,0.0,0.16835189,0.17090815,8.439531,1.8799264,0.944839,-1.7406404e+07,-3.2306556e+07,456
195,0.0,0.2596577,-0.38957155,9.031697,-1.1796128,1.8428639,-1.7403848e+07,,455
196,0.0,0.7060346,-0.48043677,8.125622,2.2295778,-0.0197665,-1.6723116e+07,,454
197,0.0,-0.20188193,0.15228613,15.461527,2.2739935,1.8681891,-1.6358285e+07,,453
198,0.0,-0.83230627,0.16321717,15.607495,1.5194782,0.867036,-1.634412e+07,,452
199,0.0,0.38245073,-0.9520491,6.73116,0.08039606,1.8264512,-1.6257592e+07,-3.2306556e+07,451
200,0.0,-0.0850697,-0.22464809,10.809521,1.177566,1.1122819,-1.6144406e+07,,500
201,0.0,-0.0018465929,0.04002366,13.996607,2.213875,2.3624935,-1.6138743e+07,,499
202,0.0,-0.9412394,-0.061840244,10.999842,0.80340326,0.8200547,-1.5859108e+07,-3.47365e+08,498
203,0.0,-0.56279767,-0.0040533394,13.439075,1.2937694,2.6355803,-1.5840432e+07,,497
204,0.0,-0.21655692,0.12969245,15.134293,2.1186254,0.49746922,-1.5800011e+07,-7.953328e+07,496
205,0.0,-0.78834754,0.18527487,15.903787,1.5808046,2.01459,-1.562292e+07,,495
206,0.0,0.37037233,0.44099736,6.1675353,2.1042736,0.11998242,-1.5457169e+07,-1.6257592e+07,494
207,0.0,-0.19434398,0.14297032,15.337584,2.137646,0.33583426,-1.4747191e+07,,493
208,0.0,0.099132776,-0.15672795,11.589583,1.5542015,0.58686507,-1.4263237e+07,,492
209,0.0,-0.39776745,0.5004633,14.551684,2.2208402,-0.003545368,-1.4060017e+07,-1.6257592e+07,491
210,0.0,-0.8777594,-0.011306785,13.615815,1.0167857,0.16636036,-1.39807e+07,-7.953328e+07,490
211,0.0,-0.07419277,0.16894622,15.684228,2.4140544,0.3453146,-1.3910652e+07,,489
212,0.0,-0.39037916,0.14178613,15.321859,1.7748115,1.6896428,-1.3827809e+07,,488
213,0.0,0.71785843,0.013906834,1.7512803,0.8823576,0.75988835,-1.3717214e+07,-1.6257592e+07,487
214,0.0,0.578986,-0.7753541,5.5621834,0.4137082,1.8259557,-1.3570739e+07,,486
215,0.0,-0.95385885,0.14098707,16.540451,1.3413486,0.7444317,-1.3402636e+07,-3.47365e+08,485
216,0.0,-0.4960708,0.56934965,21.402758,3.0814471,1.0821325,-1.3102668e+07,,484
217,0.0,-0.99178094,0.15713075,15.526148,1.2387792,1.6290495,-1.3099474e+07,,483
218,0.0,0.6502873,-0.60489607,6.9725184,1.0767653,1.362778,-1.3007049e+07,,482
219,0.0,-0.57594025,0.66738117,22.897434,3.3039172,1.4385666,-1.293665e+07,,481
