,,phi_1,theta_1,theta_2,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
159,0.0,0.21701863,-1.6819181,0.7825897,1.1612188,-0.18051164,-13.087338,-1.5957613e+08,,991
160,0.0,-0.09001306,-0.5809784,0.14826497,7.1861057,4.674992,6.458207,-1.5930611e+08,,990
161,0.0,-0.78138536,-0.27630648,-0.24685693,10.234634,3.3545508,2.9286342,-1.521169e+08,,989
162,0.0,0.01029348,-0.18891497,-0.45504585,11.216535,-4.917568,-0.91398287,-1.5010995e+08,,988
163,0.0,0.60920066,-0.7782434,-0.01964757,5.5399756,3.4896398,-0.73284924,-1.4924563e+08,,987
164,0.0,-0.46664348,-0.8894069,0.28093734,4.7285395,-1.5224766,9.139266,-1.4919702e+08,,986
165,0.0,0.75811636,-0.4444407,-0.4982605,8.4781685,-2.528178,-1.7693226,-1.4915155e+08,,985
166,0.0,-0.052659925,-0.18762107,-0.60924834,11.231414,-2.6149926,0.37222758,-1.4514429e+08,,984
167,0.0,0.85250115,-0.473492,-0.3357761,7.210052,-11.048481,-13.789761,-1.4409882e+08,-3.197771e+09,983
168,0.0,-0.63121706,-0.58170307,0.5266482,7.179578,4.8873053,-4.5363355,-1.4151805e+08,,982
169,0.0,0.029824574,-1.115689,0.24889417,3.3312206,-0.5389278,-2.931262,-1.3963587e+08,,981
170,0.0,-0.28157198,-0.23379809,0.5076109,10.706521,-12.405231,-4.045745,-1.391126e+08,,980
171,0.0,-0.71313787,-0.38806203,0.9585403,3.3827293,-3.5923533,3.0389366,-1.3775979e+08,-1.9746694e+08,979
172,0.0,-0.7620671,-0.8892521,0.6657923,4.729612,-2.3680289,-2.420412,-1.3194237e+08,,978
173,0.0,-0.45028102,0.08040137,-0.77652466,14.516199,-3.4655957,-5.0047197,-1.3018639e+08,,977
174,0.0,-0.750608,-0.87070584,0.4480911,4.859205,-1.8022116,-2.2814581,-1.2897709e+08,,976
175,0.0,-0.14249653,-0.14441754,-0.4528842,11.733851,-4.6372623,-1.7310294,-1.2725222e+08,,975
176,0.0,-0.12499767,-0.070461005,-0.33633146,12.618718,-7.426375,-2.6780338,-1.2670063e+08,,974
177,0.0,0.48182896,-0.72561735,0.08581909,8.763981,-6.77397,-5.1127234,-1.2595179e+08,-3.197771e+09,973
178,0.0,-0.48468754,-0.26074964,-0.37494776,10.406061,2.844986,10.948829,-1.2504958e+08,,972
