,,phi_1,phi_2,sigma,mu,init_y_1,init_y_2,logL,logL_birth,nlive
labels,,$\phi_1$,$\phi_2$,$\sigma$,$\mu$,$y_1$,$y_2$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,
125,0.0,-0.39860806,-0.12618342,12.127655,-99.55447,0.19418252,67.84272,-48440.793,-137824.77,975
126,0.0,-0.266079,-0.25821826,10.434093,-82.75651,81.10691,41.995533,-47686.02,,974
127,0.0,0.036102775,-0.7616984,5.6679068,62.268417,-71.00855,-17.918173,-47612.57,,973
128,0.0,0.05396176,-0.6545077,6.54175,73.791145,-14.614767,89.45511,-47380.816,,972
129,0.0,-0.23783028,-0.43118325,8.610133,-58.371735,-43.791107,18.466354,-47201.223,,971
130,0.0,0.06651174,-0.5475727,7.490825,-56.34509,-0.4782095,9.853358,-46438.547,,970
131,0.0,-0.13763669,-0.72650176,5.946241,59.9875,-13.5232,17.167442,-45548.242,,969
132,0.0,-0.014171622,-0.95900965,4.262833,-14.738508,18.645138,-90.288155,-44590.844,,968
133,0.0,-0.6395812,0.14300834,11.148512,-87.59221,-29.720007,-5.7320824,-44390.918,-68144.57,967
134,0.0,-1.2238317,-0.9461886,4.3461876,34.230087,122.23892,-4.372931,-44261.965,,966
135,0.0,-0.057666693,-0.40677387,8.856074,98.5099,-7.758391,32.346794,-44044.18,,965
136,0.0,0.73391116,-0.90518117,4.6201544,-38.972145,-15.057384,-79.893,-43549.363,,964
137,0.0,-0.10838338,-0.56313384,7.347954,75.480156,63.711613,11.287964,-43494.55,,963
138,0.0,-0.040742442,-0.9341043,4.4257545,-15.1559515,-78.194336,-44.22348,-42539.305,,962
139,0.0,0.5431816,-0.78331375,5.5011435,-44.409096,-27.199755,-14.864184,-41880.26,,961
140,0.0,0.32787406,-0.715662,6.0336547,-42.82249,0.195219,-16.186895,-41374.727,,960
141,0.0,-0.7472609,-0.67513394,6.367548,-19.732113,-39.385117,88.883,-41196.207,,959
142,0.0,0.18772373,-0.6989299,6.170154,69.073746,-65.27436,42.932407,-40440.637,,958
143,0.0,-0.9269638,-0.15533325,11.605884,-57.55086,78.44177,-42.36448,-40022.24,,957
144,0.0,-0.97680134,-0.03455022,13.059366,-68.40193,-3.2064128,135.63438,-38939.07,,956
145,0.0,-1.2695438,-0.6481757,7.303705,47.338623,-46.019592,12.453614,-38610.406,-137824.77,955
146,0.0,-0.72868603,-0.65733445,6.517706,50.44537,51.01895,-36.098827,-38608.246,,954
147,0.0,-0.8593143,-0.49795705,7.9570937,-28.191555,-51.82532,19.900587,-38598.05,,953
148,0.0,-0.24936838,-0.2659072,10.349064,-72.29206,-1.8857465,5.0554876,-38448.95,,952
149,0.0,-0.91480625,-0.5299602,9.214965,-32.780296,124.81829,38.699654,-38346.816,-68144.57,951
150,0.0,-0.9672554,-0.6607251,6.488938,-16.33957,11.436726,-32.084362,-38175.14,,1000
151,0.0,-0.46950647,-0.32095805,9.750851,84.702705,-81.674034,44.50694,-38129.7,,999
152,0.0,0.6010719,-0.49475768,7.987718,-98.93059,-77.63823,-43.391956,-38082.42,,998
153,0.0,-0.72228885,-0.060337655,12.742222,-75.05385,67.477684,76.4076,-37548.184,,997
154,0.0,0.45710468,-0.938384,4.397464,-22.39822,11.013041,49.536263,-37494.71,,996
155,0.0,-0.7913405,-0.7624283,5.662223,-12.7514715,-49.04221,35.224922,-37137.605,,995
156,0.0,0.024977194,-0.8081399,5.3135204,-22.240177,90.18638,33.666706,-37124.637,,994
157,0.0,-1.2243955,-0.452316,13.30537,-46.848103,-33.65682,-34.277718,-36667.875,-38346.816,993
158,0.0,-0.0013610866,-0.45612878,8.624751,-58.75045,65.51275,-44.1876,-36610.19,-137824.77,992
159,0.0,-0.253269,-0.15212384,4.740036,-27.066353,13.708283,-75.090385,-36591.0,-68144.57,991
160,0.0,0.34677908,-0.974782,4.161787,47.176315,-7.1976886,6.245991,-36275.5,,990
161,0.0,-0.41075817,-0.2970557,10.008295,-57.412884,66.82989,-32.93895,-36108.477,,989
162,0.0,0.672376,-0.7124197,6.0599575,-56.81283,99.948845,1.679591,-35783.438,,988
163,0.0,-0.90091646,-0.2560337,10.458318,-44.305702,-56.435192,66.840706,-35401.145,,987
164,0.0,-0.63639975,-0.2903206,10.081473,79.37703,1.7337974,17.183165,-35260.508,,986
165,0.0,-0.35976896,-0.44595778,8.46314,72.629196,47.661163,31.505907,-35051.07,,985
166,0.0,-0.93141186,-0.6414186,6.6537895,-16.383623,-27.405088,-2.6566508,-34967.14,,984
167,0.0,0.7633367,-0.70598686,6.1123524,-63.26147,-35.05234,83.818855,-34465.426,,983
168,0.0,-0.44788712,0.0070003085,12.373017,118.954094,-28.464632,-3.547297,-34375.688,-137824.77,982
169,0.0,-0.8110179,-0.4489514,8.433527,-29.665674,-50.783764,-36.85314,-33945.664,,981
170,0.0,-0.5812519,-0.5473592,7.492797,57.33268,71.29913,-69.57117,-33469.492,,980
171,0.0,-1.3703313,-0.7002814,6.159058,-8.634593,4.9574947,57.903187,-33363.395,,979
172,0.0,-0.34829235,-0.42518473,8.6702175,-42.922276,84.87141,0.82502,-33363.36,,978
173,0.0,-0.97845465,-0.45236212,8.39986,-25.658482,94.25591,-68.364784,-33110.957,,977
174,0.0,0.3720521,-0.71714824,6.0216236,-37.78968,29.187233,-7.142169,-32850.062,,976
175,0.0,0.071000785,-0.350854,5.553473,-36.098442,17.338669,90.364876,-32819.496,-68144.57,975
176,0.0,-0.9027091,-0.9814333,4.11967,-1.6229572,19.454567,-66.30863,-32791.45,,974
177,0.0,0.1990708,-0.20601624,11.020802,-113.21955,11.148568,2.2292771,-32506.996,,973
178,0.0,0.14208041,-0.758367,5.6938906,-26.267067,-78.33488,-101.10872,-32404.291,,972
179,0.0,-0.5007198,0.09800947,14.745382,-107.22165,-48.124233,-18.893167,-32166.412,,971
180,0.0,-0.68913597,-0.19182415,11.183115,-52.38542,65.630875,-9.701898,-30697.92,,970
181,0.0,-0.5385145,-0.84170055,5.066531,39.571304,16.918352,-4.4534607,-30624.057,,969
182,0.0,0.18888651,-0.5935305,7.073536,-41.926826,57.560986,35.45074,-30398.12,,968
183,0.0,-0.14039648,-0.28094372,10.18382,96.10506,-27.328938,-0.7545884,-30133.297,,967
184,0.0,-1.3201941,-0.8050117,5.3369327,34.35785,-21.214388,-29.659098,-29855.338,,966
185,0.0,0.38139063,-0.43547156,8.567323,106.65648,-6.067785,30.979076,-29828.062,,965
186,0.0,-0.07661855,-0.1638969,11.505972,-88.60198,49.193024,-19.55205,-29742.299,,964
187,0.0,-0.66042364,0.004420734,13.545471,-75.959564,-14.327523,91.3452,-29571.09,,963
188,0.0,0.25555247,-0.8293038,2.4590092,32.78549,17.771767,23.269995,-29289.195,-137824.77,962
189,0.0,0.48284492,-0.7838772,5.4968386,-31.529606,55.234,-77.79142,-28867.463,,961
190,0.0,-0.68470466,-0.18510972,12.888511,-60.62387,21.76174,-7.455578,-28856.123,-68144.57,960
191,0.0,-0.8727644,-0.03819246,13.676514,-63.45517,13.524908,63.496094,-28829.133,-38346.816,959
192,0.0,0.15103352,-0.98282665,4.1108828,-9.568519,-27.85957,38.794456,-28784.244,,958
193,0.0,-0.27104554,-0.28545254,10.13454,-56.28193,-29.26271,46.44069,-28627.492,,957
194,0.0,-1.0108612,-0.24539669,10.576681,-36.236732,-60.3519,-60.780437,-28596.234,,956
195,0.0,0.46189368,-0.51352817,7.8090086,96.74948,21.91124,-41.90666,-28490.502,,955
196,0.0,-0.201505,-0.58031845,7.192053,-29.065424,-7.2461815,17.550817,-28465.076,,954
197,0.0,0.5615838,-0.5664953,7.317302,-64.41804,-81.4541,51.222496,-28379.24,,953
198,0.0,-0.7088187,-0.3707397,9.226119,-33.306614,-111.99241,-5.546991,-28323.715,,952
199,0.0,-0.9201577,-0.041099526,12.978477,-56.629982,-5.4874043,31.008568,-28130.213,,951
200,0.0,-0.31501004,-0.49315315,8.003101,63.253937,-37.160217,-75.69139,-27976.621,,1000
201,0.0,-0.38850725,-0.72331434,5.971862,45.71158,-85.47418,-89.441605,-27972.582,,999
202,0.0,-0.29317427,-0.69310886,6.2180862,49.171967,-19.911934,-48.27498,-27865.734,,998
203,0.0,0.87527126,-0.98753417,4.081293,54.423096,-82.10423,38.31482,-27299.607,,997
204,0.0,0.002594375,-0.27557886,10.242619,99.92881,-42.344414,14.509493,-26395.24,,996
205,0.0,0.44754604,-0.8538092,4.97929,-21.946993,26.853445,-30.938744,-26021.104,,995
206,0.0,-0.49298984,-0.3006493,9.969364,-42.844315,-47.244392,-12.469344,-26017.623,,994
207,0.0,-1.1156605,-0.28531,10.136097,59.13791,20.864643,-67.6961,-25797.09,,993
208,0.0,0.18351749,-0.6753723,6.365552,59.436413,-2.2723722,37.32021,-25378.15,,992
209,0.0,-0.34902775,-0.07156911,12.605233,-75.45298,-18.511269,-76.339935,-25068.518,,991
210,0.0,-0.2046222,-0.07398782,12.575825,-84.84891,4.043407,-54.85967,-24867.85,,990
211,0.0,-0.25491366,-0.5865832,7.1357102,54.818623,-13.754953,-16.234325,-24843.096,,989
212,0.0,-0.24285875,-0.51370895,7.8072996,-30.02896,-52.691547,-5.45805,-24681.012,,988
213,0.0,0.7649016,-0.52514064,7.6996145,-87.78363,-21.095745,17.210617,-24658.564,,987
214,0.0,1.6134951,-0.9760457,4.153763,-100.05843,-62.864624,-2.1205034,-24456.383,,986
215,0.0,-0.43148768,-0.65126544,8.184696,-24.482475,-42.89927,-7.861698,-24355.33,-28130.213,985
216,0.0,0.28380698,-0.24095786,10.626276,-96.37149,-15.178669,27.091658,-24240.395,,984
217,0.0,-0.38327485,0.022975411,11.923522,-72.084305,-7.0867295,45.380054,-23877.768,-38346.816,983
218,0.0,-0.79340845,-0.12517987,11.961046,-46.81198,6.3058047,-6.6173463,-23851.215,,982
219,0.0,-0.5402715,-0.37550882,9.176668,62.706448,4.015332,-98.85484,-23572.84,,981
220,0.0,-0.30404276,-0.29291192,10.053286,-47.082462,-29.494312,-43.294975,-23505.512,,980
221,0.0,0.11200826,-0.404078,8.883472,-52.77284,-76.17653,-57.007206,-23398.678,,979
222,0.0,-0.62976897,-0.35687864,11.337824,71.45726,-45.672432,0.20678538,-23398.484,-28130.213,978
223,0.0,-0.6328948,0.046957616,14.085237,-72.03847,96.6348,34.17938,-23395.363,,977
224,0.0,-0.012137028,-0.48370302,6.3213596,-26.643108,-5.8813653,-51.002655,-23362.73,-137824.77,976
225,0.0,-0.15978855,-0.68446445,6.289692,-18.324686,-68.642136,-31.445662,-23043.057,,975
226,0.0,0.3622265,-0.052707504,12.835682,-166.2661,23.200338,-20.658682,-23018.447,,974
227,0.0,0.47353336,-0.57357895,7.2529583,79.83573,35.512222,-22.938238,-22933.984,,973
228,0.0,-0.08665746,-0.4800139,8.129713,65.78184,-34.9357,-32.97153,-22769.334,,972
229,0.0,0.06463296,-0.7735408,5.5761485,46.8543,-51.628147,-42.772644,-22556.744,,971
230,0.0,-1.0047795,-0.77734405,2.585885,6.5478654,97.29197,-10.160201,-22305.836,-38346.816,970
231,0.0,-0.9301558,-0.025032476,16.536856,-65.58199,65.59943,88.37051,-22279.223,-28130.213,969
232,0.0,1.1941936,-0.7482968,5.772894,-85.13453,48.394516,-37.397682,-22133.281,,968
233,0.0,-0.6683351,-0.044751108,17.629578,-82.39002,-56.235836,59.782658,-21951.549,-38346.816,967
234,0.0,-1.2496204,-0.836833,5.1018815,-0.4660473,-55.74749,-40.9498,-21845.744,,966
235,0.0,-1.3567339,-0.41382265,8.78466,44.963234,-122.46367,-59.218918,-21810.506,,965
236,0.0,-0.28127664,-0.2951297,10.029193,-45.161854,35.36922,57.08149,-21792.219,,964
237,0.0,-0.6934984,-0.10055577,12.254924,79.93773,1.9658353,-73.41463,-21733.994,,963
238,0.0,0.19275673,-0.15649931,9.973317,-82.867584,-5.3762,-59.5752,-21680.2,-38346.816,962
239,0.0,0.7127635,-0.85408413,4.9773197,56.659542,32.222923,-19.53181,-21532.521,,961
240,0.0,-0.07747061,-0.16698802,11.470014,-71.34655,-31.674171,70.1008,-21389.062,,960
241,0.0,-0.14037867,-0.49146357,8.01932,-31.05843,27.53885,1.3139178,-21375.33,,959
242,0.0,1.2003301,-0.79188615,5.4358845,-70.62159,30.910227,28.187836,-20862.46,,958
243,0.0,-0.7499437,-0.600181,7.0143213,-12.4472275,45.66714,-35.032608,-20780.387,,957
244,0.0,0.39823946,-0.4112101,8.811091,95.543655,45.78821,31.855038,-20557.164,,956
245,0.0,-0.2120115,-0.2529574,10.492478,-50.37443,62.18693,-13.600191,-20398.049,,955
246,0.0,-0.42364436,-0.19250992,11.175245,-47.788387,-12.395069,-79.778984,-20201.453,,954
247,0.0,0.09715739,-0.5415772,7.5463014,62.911633,-39.45692,-98.52754,-20196.223,,953
248,0.0,0.1796291,-0.4667958,8.258228,-42.53443,0.21887028,-33.059288,-19619.285,,952
249,0.0,-0.5578083,-0.04194479,14.4636,95.7044,7.242045,48.064987,-19432.271,-68144.57,951
250,0.0,-0.1691919,-0.87893355,4.8014274,-5.7165494,-74.6574,56.87837,-19310.297,,1000
251,0.0,-0.8907165,-0.58578014,7.1429167,40.787323,-43.944214,-46.209255,-19223.078,,999
252,0.0,-0.36684212,-0.4325957,8.59602,-27.077446,-62.217754,2.8731656,-19040.166,,998
253,0.0,0.9133986,-0.9973856,4.0198445,-17.720634,-24.119476,-23.523975,-18863.81,,997
254,0.0,0.5705673,-0.54944366,7.4735622,-51.64559,3.0184016,44.98225,-18639.342,,996
