,,phi_1,theta_1,theta_2,theta_3,theta_4,theta_5,sigma,mu,init_y_1,logL,logL_birth,nlive
labels,,$\phi_1$,$\theta_1$,$\theta_2$,$\theta_3$,$\theta_4$,$\theta_5$,$\sigma$,$\mu$,$y_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,,,,,,,,
83,0.0,0.20725636,-0.8187495,0.30787343,-0.45771232,0.24752069,-0.068887524,5.2346153,5.1437674,-4.0931735,-7.781081e+09,,967
84,0.0,-0.14331372,-0.9798109,0.28784448,-0.78205615,0.33587503,0.3161459,4.129917,2.3378227,6.0430837,-7.5582653e+09,,966
85,0.0,0.6899096,-1.0411481,1.336928,-1.4255462,0.65211415,-0.41104397,3.3424265,4.3712187,-1.5761024,-7.2882115e+09,-2.0154634e+10,965
86,0.0,0.07225261,-0.85869515,0.65442127,-0.26354936,0.003091304,-0.31139657,4.944367,-4.089084,0.54278165,-6.5949015e+09,,964
87,0.0,-0.71351045,-1.1269361,0.044138975,0.5367265,-0.34177512,0.30059257,3.2704175,2.6228442,2.6283226,-6.345757e+09,,963
88,0.0,0.61738396,-0.6502509,-0.33791542,-0.38849792,0.84330976,-0.37657163,6.5780597,5.030859,12.511299,-5.941343e+09,,962
89,0.0,-0.227775,-0.51370245,-1.1595194,0.76245165,0.6401826,-0.5718919,7.80736,3.2471046,6.140351,-5.9322977e+09,,961
90,0.0,0.072182804,-0.5071054,-0.703222,-0.19617562,0.22918878,0.4280388,7.869897,6.8119884,5.297068,-5.884818e+09,,960
91,0.0,0.7053638,-1.0744511,0.66001844,-0.54330397,-0.16461954,0.23255502,3.5610197,4.2662506,0.2783652,-5.767625e+09,,959
92,0.0,0.737652,-1.0855969,0.45442536,-0.066935055,-0.049002808,-0.017856766,3.4978402,-9.98415,7.403268,-5.7397407e+09,,958
93,0.0,-0.641365,0.28607273,-0.7858169,-0.064065084,0.119605,-0.49537542,17.286543,2.1260884,3.7695842,-5.664521e+09,,957
94,0.0,0.29221034,-1.3195372,0.8062719,-0.2908097,-0.26606727,0.5053339,2.3491378,-4.4922833,0.43635097,-5.5450383e+09,,956
95,0.0,-0.9550169,-0.40954348,-0.19722818,0.12831123,-0.60145724,0.44498911,8.827976,-5.119143,1.2121109,-5.489321e+09,,955
96,0.0,-0.93907845,-0.67745775,0.06388767,-0.32906795,0.3778199,-0.3229256,6.3481026,1.1147398,-7.8478518,-5.1372175e+09,,954
97,0.0,0.69529045,-1.3381072,1.0613528,-0.59129184,0.07190868,-0.14106283,2.2718203,-1.4372252,3.5274217,-5.08579e+09,,953
98,0.0,-0.17219931,-0.26763374,0.20573348,0.061566412,-0.5786891,0.025867945,10.33002,11.739887,4.569249,-5.0325627e+09,,952
99,0.0,-0.45898452,0.14996183,-0.7525157,-0.390779,0.08993724,0.23461542,14.807202,9.816251,0.66929257,-4.839697e+09,-2.0154634e+10,951
100,0.0,0.31404054,-0.7211115,1.1644863,-1.077183,0.2490087,-0.294097,5.5991344,-7.635448,8.905182,-4.777856e+09,-2.0154634e+10,1000
101,0.0,-0.584689,-0.5113516,0.036368597,-0.16359647,0.386538,-0.37054378,7.829613,-5.4075017,-3.3990314,-4.7681613e+09,,999
102,0.0,0.24905011,-0.61016595,-0.1148441,-0.38738158,0.5737666,-0.20878816,6.9259744,6.7394624,-1.5692148,-4.7497513e+09,,998
103,0.0,0.4275073,-1.0198302,0.135974,0.10271371,0.5955236,-0.47896636,3.8822236,6.516791,-3.8021007,-4.670452e+09,,997
104,0.0,-0.95075303,-0.4977348,-0.32132646,0.7270303,-0.0072031827,-0.46692204,7.959218,5.03613,4.264359,-4.5900324e+09,,996
105,0.0,0.046617497,-0.28249577,-0.4816629,-0.50651187,0.5551232,-0.09107909,10.166843,5.86956,1.8673289,-4.578616e+09,,995
106,0.0,-0.71795183,-0.5473436,-0.53681856,0.28151116,0.68248445,-0.63088316,4.2247005,1.7367964,-2.0421457,-4.5558625e+09,-4.839697e+09,994
107,0.0,0.35684222,-0.009101607,-0.07921085,-0.16202886,-0.00945721,-0.6922501,13.375878,3.0480027,0.9879806,-4.4707983e+09,,993
108,0.0,-0.40889493,-0.26634958,-0.51678306,0.39452615,-0.08103558,-0.29698578,10.344182,-4.8027363,-5.7408276,-4.4097644e+09,,992
109,0.0,0.14571166,0.24540175,0.778064,-0.97684026,-0.22579221,-0.760332,16.723038,-3.6145105,3.605977,-4.363804e+09,,991
110,0.0,0.3324799,-0.9398018,-0.74681383,1.0437934,0.2945188,-0.39907435,4.3881187,4.5675297,2.0067132,-4.3171e+09,,990
111,0.0,-0.17961712,-0.32242355,-0.43090683,-0.57204497,0.29111347,0.42488497,9.735183,8.727321,7.405195,-4.1918735e+09,,989
112,0.0,0.47670564,-0.7097021,0.1402029,-0.22046731,0.31467173,-0.3017424,6.082058,-7.030073,5.2170224,-4.1464238e+09,,988
113,0.0,0.33853507,-0.9062782,0.76724815,-0.38264304,-0.06357044,0.26715574,4.6126785,12.489748,1.2521923,-3.9457935e+09,,987
114,0.0,-0.5629776,-0.68742126,0.27709678,-0.23638184,0.6703923,-0.8116848,6.265142,2.2346535,1.6564966,-3.864521e+09,,986
115,0.0,0.39638987,-0.5600803,-0.19423069,0.38429117,-0.5103666,0.27187687,7.375862,12.4032135,0.59250915,-3.829184e+09,,985
116,0.0,-0.618598,-0.47984794,0.8549956,-0.6199633,0.33394778,-0.6443181,8.131321,-5.803152,-3.4509728,-3.8058788e+09,,984
117,0.0,-0.99290246,0.18961026,-0.525154,-0.18589306,0.13821304,-0.48393524,15.962292,2.8014042,1.2170862,-3.7648986e+09,,983
118,0.0,-0.9900926,-0.308662,0.021825342,-0.4928933,0.08857287,0.5399989,9.882846,-10.6443405,4.4366875,-3.6534323e+09,,982
119,0.0,-0.97896504,-0.34097785,0.98574877,-0.8308411,0.13637151,-0.44659814,9.537958,6.087267,5.172345,-3.5508698e+09,,981
120,0.0,-0.19730985,-0.2547198,-0.030926358,0.31565464,-0.6434251,0.050077315,10.4729,9.384249,-0.7273464,-3.4203192e+09,,980
121,0.0,-0.41937244,-0.3820975,0.17208332,-0.12353478,-0.4500099,-0.17127198,9.10859,0.75922364,7.25799,-3.3925025e+09,,979
122,0.0,-0.87879103,-0.114953,-0.2100386,-0.1067478,0.14662255,-0.5382147,12.082684,2.8042452,-6.089998,-3.3704837e+09,,978
123,0.0,0.1642847,-0.51140773,-0.6230404,0.6763408,0.36577913,-0.5479952,7.82908,8.180369,2.1987371,-3.347071e+09,,977
124,0.0,0.13057902,-0.78921103,0.0580344,0.45421305,0.013522986,0.027409172,5.456197,11.550912,7.5138183,-3.3224827e+09,,976
125,0.0,0.46472338,0.4309578,-0.810863,-0.3286254,0.10073973,-0.32784995,19.351889,5.801948,7.447003,-3.1963628e+09,,975
126,0.0,-0.28975278,-0.70686203,-1.2475246,0.9054982,0.6556352,-0.39224988,6.105208,2.3809388,2.3965695,-3.1433925e+09,,974
127,0.0,-0.24206972,-0.70316416,0.59940386,-0.55157584,0.69279987,-0.7044676,6.1354313,-3.8542907,-2.1465638,-3.0986588e+09,,973
128,0.0,-0.66271985,-0.26076353,0.27746257,-0.15946259,-0.5525255,0.25322816,10.405905,8.017304,-5.6400104,-2.9996884e+09,,972
129,0.0,-0.6059692,-0.071530454,0.18645811,-0.43927416,0.034361407,-0.19897036,12.605704,9.117047,10.304445,-2.9255636e+09,,971
130,0.0,-0.76489097,0.29823682,0.25605053,-0.28156886,-0.2723344,-0.24238575,17.45651,16.702374,1.3913925,-2.8162086e+09,,970
131,0.0,0.54082745,-0.8753816,0.29092422,-0.54134476,0.12171046,0.18918432,4.826315,4.261538,-5.8780875,-2.7165755e+09,,969
132,0.0,0.19732067,-0.70724493,-0.13152885,0.32951635,-0.46305877,0.2940261,6.102083,5.255802,-1.2327285,-2.6306893e+09,,968
133,0.0,0.09831393,-0.32875443,-0.18318066,0.5935053,-0.61583096,-0.28543016,9.667645,-4.190789,2.0920327,-2.6006828e+09,,967
134,0.0,-0.6638782,-0.8435642,0.091276385,0.21490052,0.34229517,-0.34670848,5.0530396,-2.9646685,-3.5954678,-2.5850412e+09,,966
135,0.0,-0.5201402,0.10005529,-0.4485654,0.24878721,-0.04190283,-0.4674766,14.772111,8.1139145,1.8609504,-2.5710285e+09,,965
136,0.0,-0.61286634,-0.58190477,0.37129837,0.15177737,0.4009244,0.07735657,7.177762,13.076395,6.164785,-2.454742e+09,,964
137,0.0,0.71790797,-1.6123841,1.2621083,0.17007238,-0.67646646,0.534445,1.3407133,6.6748247,-4.1099014,-2.4538867e+09,,963
138,0.0,-0.28985003,-0.7396443,0.24301156,0.1925664,-0.018705536,0.33877587,5.841326,-9.457657,8.02992,-2.4225362e+09,,962
139,0.0,-0.17354967,0.25396845,0.3471513,-0.16845323,-0.55228186,-0.46734962,16.84111,12.194136,0.2939902,-2.3691615e+09,,961
140,0.0,-0.09948127,-0.15217955,-0.67508775,-0.0864841,-0.06853768,0.32120895,11.642785,7.2655077,4.001648,-2.3338916e+09,,960
141,0.0,-0.6708692,-0.0770657,-0.3490335,0.3001324,0.0025017427,-0.27679017,12.538447,-9.0922985,-1.7992845,-2.3204096e+09,,959
142,0.0,-0.44200125,-0.41239697,-0.20453277,0.33895883,-0.2681383,0.059505608,8.799079,6.2676907,7.381718,-2.2787594e+09,,958
143,0.0,0.6385803,-1.1037325,0.4397354,0.24303894,-0.6564228,0.33242875,3.3967347,4.7449193,4.7030935,-2.2371443e+09,,957
144,0.0,-0.5993293,-0.6103672,0.5149349,-0.22504343,-0.064689696,-0.14429857,6.9242005,4.0354533,-4.2013674,-2.2305974e+09,,956
145,0.0,-0.48764566,-0.14319447,-0.052362796,-0.10026626,-0.23407693,-0.1082346,11.748233,5.63892,-7.498257,-2.2004086e+09,,955
146,0.0,-0.8221818,0.20559947,-0.52985245,-0.6578623,0.14951769,-0.07919451,16.9259,1.646263,2.040326,-2.1687803e+09,-2.0154634e+10,954
147,0.0,0.13378087,-0.015479973,-1.0263535,0.27465764,0.35918197,-0.43696848,13.296222,4.684633,1.0004815,-2.1566116e+09,,953
148,0.0,-0.7108826,-1.1950197,0.43282983,0.13840792,-0.067076415,0.25000727,2.9191914,1.8462619,0.74001724,-2.1457079e+09,,952
149,0.0,-0.26814017,-0.021460256,-0.869519,-0.15999465,0.56543213,-0.14065813,13.221735,-7.547862,-1.4537611,-2.1337129e+09,,951
150,0.0,-0.56203014,-0.3007112,0.44364935,-0.75110286,0.41462147,-0.29186,9.968693,-6.3267245,-3.359185,-2.1062813e+09,,1000
151,0.0,0.12804942,-0.74557555,-0.51249886,-0.1822038,0.8145301,-0.17729145,5.794361,-2.4864755,1.9866308,-2.0613158e+09,,999
152,0.0,-0.3513018,-0.71713895,-0.17977326,0.39775997,-0.6717102,0.2757106,10.821631,1.5848036,-2.0648828,-1.9897632e+09,-4.839697e+09,998
153,0.0,-0.94490594,-0.38580188,0.20047304,0.2729061,0.041105956,0.36325762,9.070436,12.870364,-0.011212056,-1.9609677e+09,,997
154,0.0,0.41885537,-0.3675477,-0.77097845,0.4924665,0.50150126,-0.45839006,0.84734696,-1.0613723,-0.66762733,-1.9140017e+09,-2.1337129e+09,996
155,0.0,0.13003446,-0.11320134,-0.675245,-0.76234996,0.5588808,0.16365476,12.103577,4.3801885,3.4310012,-1.9038508e+09,,995
156,0.0,-0.41503003,-0.16895364,-0.39684743,0.07265677,0.26374474,-0.52555263,11.447176,3.628498,-7.1070046,-1.8793503e+09,,994
157,0.0,-0.6824187,-1.0607418,0.8294733,-0.096345216,-0.032820534,0.11087567,6.11859,-4.9063993,-0.37828735,-1.8488278e+09,-2.0154634e+10,993
158,0.0,0.661023,-0.7245935,-0.55400825,0.36511686,0.17414016,-0.05927137,5.9615717,6.3623023,0.059002277,-1.8364838e+09,,992
159,0.0,-0.6486101,-0.5127681,-0.24533202,0.26112545,0.28014603,-0.021856576,7.8162003,6.3655167,12.685827,-1.7767434e+09,,991
160,0.0,-0.9286222,0.42005104,0.2938292,-0.84731054,-0.41882667,-0.21711698,19.193394,4.068336,2.8304963,-1.727198e+09,,990
161,0.0,0.37706196,-0.61886865,1.060158,-0.89626884,0.44690704,-0.52088064,6.8495197,9.006874,-2.795499,-1.7114542e+09,,989
162,0.0,-0.38198274,-0.47171792,0.047486212,0.09900245,0.65868676,-0.23110053,8.210238,11.310995,-0.53759784,-1.7075768e+09,,988
163,0.0,0.46498168,-0.4957954,-0.10955118,0.5475211,-0.73250705,0.063235246,7.9777775,-7.0775557,-1.4839569,-1.7066885e+09,,987
164,0.0,-0.6636934,-0.38072917,-0.01561804,-0.578599,0.27510634,0.15662314,9.122705,4.296508,10.107864,-1.6750157e+09,,986
165,0.0,-0.5419562,-0.25473464,-1.3190179,0.85497504,0.69310635,-0.46941474,10.472736,-5.8507824,7.467194,-1.6641556e+09,,985
